,public_metrics,created_at,id,text,entities,context_annotations
625,"{'retweet_count': 445, 'reply_count': 121, 'like_count': 4853, 'quote_count': 56}",2020-08-24T05:16:39.000Z,1297764738617806850,What entrepreneurs crave in investors is conviction.,,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878402157629440', 'name': 'Investors and patents', 'description': 'Investors and patents'}}]"
626,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",2020-08-23T21:34:56.000Z,1297648544044576768,"@tbr90 Tokens count against the 20% but I don’t think SAFTs do. 

cc @avlok","{'mentions': [{'start': 0, 'end': 6, 'username': 'tbr90'}, {'start': 69, 'end': 75, 'username': 'avlok'}]}",
627,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",2020-08-23T20:05:36.000Z,1297626061660987392,"@mkapor @ganeumann Yes, if you can be selective about follow ons, and if you have more information about your own investments than the incoming lead does, this works.","{'mentions': [{'start': 0, 'end': 7, 'username': 'mkapor'}, {'start': 8, 'end': 18, 'username': 'ganeumann'}]}",
628,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2020-08-23T19:58:47.000Z,1297624345380970496,"@tbr90 These funds work under the ERA exemption so only 20% of investments can be in non-qualifying assets. 

Also, I don’t know of any fund administration providers that will let GPs self-custody if third-party custody is available.","{'mentions': [{'start': 0, 'end': 6, 'username': 'tbr90'}]}","[{'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076248877395968', 'name': 'GPS and maps', 'description': 'GPS & Maps'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}]"
629,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",2020-08-23T07:27:02.000Z,1297435160393129984,@OmarIbisa @fuentescca Doesn’t feel right to me.,"{'mentions': [{'start': 0, 'end': 10, 'username': 'OmarIbisa'}, {'start': 11, 'end': 22, 'username': 'fuentescca'}]}",
630,"{'retweet_count': 5, 'reply_count': 7, 'like_count': 124, 'quote_count': 4}",2020-08-23T07:12:45.000Z,1297431567489359873,@101_chirag Siddhartha is a fictional retelling of the enlightenment stories in the Ashtavakra Gita and the Yoga Vasistha. You may like those.,"{'annotations': [{'start': 84, 'end': 98, 'probability': 0.3178, 'type': 'Other', 'normalized_text': 'Ashtavakra Gita'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1100869069912166400', 'name': 'Siddhartha', 'description': 'Siddhartha mexican singer'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1100869069912166400', 'name': 'Siddhartha', 'description': 'Siddhartha mexican singer'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '806571747730341888', 'name': 'Rock', 'description': 'Rock'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Home & family', 'description': 'Hobbies and interests'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '872553326499422208', 'name': 'Fitness', 'description': 'Fitness'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '872554146750017536', 'name': 'Exercises', 'description': 'Exercises'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538775055048704', 'name': 'Physical Wellness', 'description': 'Physical Wellness'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '917479016617017345', 'name': 'Yoga', 'description': 'Yoga'}}]"
631,"{'retweet_count': 3902, 'reply_count': 311, 'like_count': 22620, 'quote_count': 317}",2020-08-23T07:07:48.000Z,1297430323337162753,The overscheduled life is not worth living.,,
632,"{'retweet_count': 1080, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-08-23T06:59:54.000Z,1297428332477259776,"RT @NavalBot: ""The first rule of handling conflict is don't hang around with people who are constantly engaging in conflict."" - @naval","{'mentions': [{'start': 3, 'end': 12, 'username': 'NavalBot'}, {'start': 128, 'end': 134, 'username': 'naval'}]}",
633,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 18, 'quote_count': 0}",2020-08-22T23:37:57.000Z,1297317113581850624,@lpolovets @ganeumann In theory it’s because there’s less allocation available early on and because GP time is finite and it costs no more time to invest in the same company again.,"{'mentions': [{'start': 0, 'end': 10, 'username': 'lpolovets'}, {'start': 11, 'end': 21, 'username': 'ganeumann'}]}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}]"
634,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 27, 'quote_count': 0}",2020-08-22T22:37:46.000Z,1297301967950102534,"@ganeumann For follow ons to be so important you’d have to believe that late stage venture is underpriced relative to early stage venture. 

There’s a sweet spot at the Series A, but after that the late stage is extremely competitive.","{'mentions': [{'start': 0, 'end': 10, 'username': 'ganeumann'}]}",
635,"{'retweet_count': 3, 'reply_count': 4, 'like_count': 71, 'quote_count': 1}",2020-08-22T22:35:18.000Z,1297301346551394305,"@ganeumann Personally, I think follow-ons are overrated. I’ve always done better just by doing more early stage checks. 

I know that’s hard to scale, but that’s where a basket of early fund managers is very useful.","{'mentions': [{'start': 0, 'end': 10, 'username': 'ganeumann'}]}",
636,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 121, 'quote_count': 1}",2020-08-22T22:28:56.000Z,1297299744125927424,"@ganeumann It’s not “screwed” but things to be aware of:

• The fund can get so large that the portfolio strategy may shift over time. Fund size is uncapped.

• Follow-ons come out of a later and larger pool unless the GP commits to running pro-rata SPVs.

I’m an LP in a dozen RFs myself.","{'mentions': [{'start': 0, 'end': 10, 'username': 'ganeumann'}]}",
637,"{'retweet_count': 1, 'reply_count': 6, 'like_count': 276, 'quote_count': 0}",2020-08-22T08:54:12.000Z,1297094710746464256,@IntendedPUNeet Touché.,"{'mentions': [{'start': 0, 'end': 15, 'username': 'IntendedPUNeet'}]}",
638,"{'retweet_count': 1260, 'reply_count': 258, 'like_count': 7553, 'quote_count': 103}",2020-08-22T08:30:34.000Z,1297088762757787649,Hope is the belief that this moment isn’t good enough.,,
639,"{'retweet_count': 743, 'reply_count': 136, 'like_count': 6750, 'quote_count': 71}",2020-08-22T08:05:19.000Z,1297082408030760960,"When it comes to healing the mind, placebo effects are completely valid.",,
640,"{'retweet_count': 560, 'reply_count': 1956, 'like_count': 6879, 'quote_count': 377}",2020-08-22T07:59:03.000Z,1297080832046141441,"How long until we create the perfect drug, that has everyone addicted, all the time?",,
641,"{'retweet_count': 7, 'reply_count': 3, 'like_count': 22, 'quote_count': 0}",2020-08-21T04:59:33.000Z,1296673269823619072,"@rutvijkarkhanis We are gaining status relative to others. The coin of status is attention and attention is finite. 

Wealth creation is infinite.","{'mentions': [{'start': 0, 'end': 16, 'username': 'rutvijkarkhanis'}]}",
642,"{'retweet_count': 115, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-08-21T04:38:55.000Z,1296668077212360706,"RT @EricJorgenson: New blog post about the Almanack of Naval --

The biggest life-lessons I learned from spending 3 years immersed in this…","{'annotations': [{'start': 43, 'end': 59, 'probability': 0.5117, 'type': 'Organization', 'normalized_text': 'Almanack of Naval'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'EricJorgenson'}]}",
643,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 94, 'quote_count': 0}",2020-08-19T03:44:56.000Z,1295929718584221697,@fuentescca I feel you. I’m burned out on the replies too.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'fuentescca'}]}",
644,"{'retweet_count': 2740, 'reply_count': 236, 'like_count': 17237, 'quote_count': 185}",2020-08-19T03:26:37.000Z,1295925108989521920,Time spent has nothing to do with job done.,,
645,"{'retweet_count': 7, 'reply_count': 2, 'like_count': 40, 'quote_count': 2}",2020-08-19T03:23:57.000Z,1295924436537765888,"@_Jack007__ I would apply to the best technical schools, attend just long enough to identify and recruit an amazing team, and then drop out to build products with them.",,
646,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 53, 'quote_count': 0}",2020-08-19T03:18:13.000Z,1295922993843982336,@ohneka_ @tobydoyhowell Side gig.,"{'mentions': [{'start': 0, 'end': 8, 'username': 'ohneka_'}, {'start': 9, 'end': 23, 'username': 'tobydoyhowell'}]}",
647,"{'retweet_count': 48, 'reply_count': 39, 'like_count': 1338, 'quote_count': 8}",2020-08-19T03:10:22.000Z,1295921017429225473,@tobydoyhowell I spend most of my day pretending to be busy.,"{'mentions': [{'start': 0, 'end': 14, 'username': 'tobydoyhowell'}]}",
