,text,created_at,entities,id,public_metrics,context_annotations
2634,Interesting.... https://t.co/Kl9g295uGR,2020-07-17T13:18:25.000Z,"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/Kl9g295uGR', 'expanded_url': 'https://twitter.com/noonanjo/status/1284113457365880832', 'display_url': 'twitter.com/noonanjo/statu…'}]}",1284115241660538882,"{'retweet_count': 7, 'reply_count': 7, 'like_count': 75, 'quote_count': 0}",
2635,good advice. https://t.co/W5X82JG0z2,2020-07-16T18:53:06.000Z,"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/W5X82JG0z2', 'expanded_url': 'https://twitter.com/zebulgar/status/1283828542719971328', 'display_url': 'twitter.com/zebulgar/statu…'}]}",1283837079349338113,"{'retweet_count': 4, 'reply_count': 3, 'like_count': 73, 'quote_count': 0}","[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2636,@dwr proverbial turning bug intoa feature.,2020-07-16T10:00:52.000Z,"{'mentions': [{'start': 0, 'end': 4, 'username': 'dwr'}]}",1283703136679538688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",
2637,Don’t alert the NYT tech reporters.  Might upset their narrative. https://t.co/fkqsi2WT8f,2020-07-15T18:56:09.000Z,"{'annotations': [{'start': 16, 'end': 18, 'probability': 0.9741, 'type': 'Organization', 'normalized_text': 'NYT'}], 'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/fkqsi2WT8f', 'expanded_url': 'https://twitter.com/ne0liberal/status/1283422710555607045', 'display_url': 'twitter.com/ne0liberal/sta…'}]}",1283475457128751105,"{'retweet_count': 106, 'reply_count': 29, 'like_count': 635, 'quote_count': 9}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1129034928895586306', 'name': 'Drones'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040666972', 'name': 'The New York Times'}}]"
2638,@balajis that phrase is literally the worst advice ever given.,2020-07-15T18:54:41.000Z,"{'mentions': [{'start': 0, 'end': 8, 'username': 'balajis'}]}",1283475090110324738,"{'retweet_count': 2, 'reply_count': 4, 'like_count': 52, 'quote_count': 0}",
2639,@sethbannon @DrEricDing read @zerohedge,2020-07-15T18:52:06.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'sethbannon'}, {'start': 12, 'end': 23, 'username': 'DrEricDing'}, {'start': 29, 'end': 39, 'username': 'zerohedge'}]}",1283474437451456512,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168530588535386112', 'name': 'Zerohedge'}}]"
2640,"@sethbannon @DrEricDing another fucking stupid study, intentionally misdesigned.",2020-07-15T18:51:30.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'sethbannon'}, {'start': 12, 'end': 23, 'username': 'DrEricDing'}]}",1283474285399506946,"{'retweet_count': 0, 'reply_count': 8, 'like_count': 8, 'quote_count': 0}",
2641,"@johnbiggs @hunterwalk actually no, we don’t care.",2020-07-15T08:51:15.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'johnbiggs'}, {'start': 11, 'end': 22, 'username': 'hunterwalk'}]}",1283323230154096641,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
2642,"@cyantist @LeeJacobs ironically, that is also Delian’s nickname. @zebulgar",2020-07-14T22:21:28.000Z,"{'annotations': [{'start': 46, 'end': 51, 'probability': 0.6082, 'type': 'Person', 'normalized_text': 'Delian'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cyantist'}, {'start': 10, 'end': 20, 'username': 'LeeJacobs'}, {'start': 65, 'end': 74, 'username': 'zebulgar'}]}",1283164740005634049,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 13, 'quote_count': 0}",
2643,"RT @ianbremmer: US tech showdown vs China has been President Trump’s most successful foreign policy.

Almost all key US allies now aligned…",2020-07-14T22:13:32.000Z,"{'annotations': [{'start': 16, 'end': 17, 'probability': 0.6573, 'type': 'Place', 'normalized_text': 'US'}, {'start': 36, 'end': 40, 'probability': 0.8745, 'type': 'Place', 'normalized_text': 'China'}, {'start': 61, 'end': 65, 'probability': 0.6234, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 117, 'end': 118, 'probability': 0.7855, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'ianbremmer'}]}",1283162741147041792,"{'retweet_count': 62, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]"
