,created_at,public_metrics,entities,text,id,context_annotations
185,2018-09-29T00:38:40.000Z,"{'retweet_count': 24, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 11, 'username': 'sequoia'}], 'hashtags': [{'start': 57, 'end': 68, 'tag': 'SequoiaAMP'}]}","RT @sequoia: 2 of last night’s takeaways for founders at #SequoiaAMP:
✅ As the founder you create the company values -- and you must live b…",1045835216567197697,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}]"
186,2018-09-20T17:28:55.000Z,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 11, 'username': 'sequoia'}, {'start': 22, 'end': 33, 'username': 'juliahartz'}, {'start': 34, 'end': 45, 'username': 'kevinhartz'}, {'start': 56, 'end': 67, 'username': 'eventbrite'}]}","RT @sequoia: Congrats @juliahartz @kevinhartz &amp; the @Eventbrite team! We’re honored to accompany you on this journey.
An open letter to Jul…",1042827961013923840,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043403164', 'name': 'Eventbrite'}}]"
187,2018-09-20T16:46:04.000Z,"{'retweet_count': 67, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 12, 'username': 'BirdRide'}]}","RT @BirdRide: We want to thank the entire Bird community: Our city partners, riders, chargers, mechanics, as we celebrate the 1 year annive…",1042817178653941761,
188,2018-09-20T16:43:53.000Z,"{'retweet_count': 42, 'reply_count': 25, 'like_count': 360, 'quote_count': 16}","{'mentions': [{'start': 9, 'end': 20, 'username': 'eventbrite'}, {'start': 73, 'end': 84, 'username': 'juliahartz'}, {'start': 91, 'end': 102, 'username': 'kevinhartz'}], 'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/C41Z8xBxp0', 'expanded_url': 'https://seq.vc/eventbrite', 'display_url': 'seq.vc/eventbrite'}, {'start': 249, 'end': 272, 'url': 'https://t.co/loEyrghYqm', 'expanded_url': 'https://twitter.com/roelofbotha/status/1042816629141196802/photo/1', 'display_url': 'pic.twitter.com/loEyrghYqm'}]}","Congrats @Eventbrite on today’s milestone. 
To two exceptional founders, @juliahartz &amp; @kevinhartz: From relentlessly serving your customers to building an incredible team culture, your leadership is truly inspirational. https://t.co/C41Z8xBxp0 https://t.co/loEyrghYqm",1042816629141196802,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043403164', 'name': 'Eventbrite'}}]"
189,2018-09-20T14:49:25.000Z,"{'retweet_count': 37, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 25, 'end': 33, 'probability': 0.469, 'type': 'Person', 'normalized_text': 'Gov Brown'}, {'start': 41, 'end': 42, 'probability': 0.3097, 'type': 'Place', 'normalized_text': 'CA'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'DavidSacks'}]}",RT @DavidSacks: Kudos to Gov Brown &amp; the CA assembly for seeing through the hysteria and treating e-scooters the same as e-bikes. Of course…,1042787824058200064,
190,2018-09-17T05:12:16.000Z,"{'retweet_count': 68, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 27, 'end': 53, 'probability': 0.4091, 'type': 'Product', 'normalized_text': 'Disney Television Animation'}, {'start': 96, 'end': 108, 'probability': 0.5863, 'type': 'Other', 'normalized_text': 'Baymax Dreams'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'unity3d'}]}","RT @unity3d: Check out how Disney Television Animation used Unity to create the three episodic ""Baymax Dreams"" shorts, which are now availa…",1041555412925837313,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10037284711', 'name': 'Disney'}}]"
191,2018-09-14T21:01:18.000Z,"{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 11, 'username': 'sequoia'}, {'start': 119, 'end': 131, 'username': 'roelofbotha'}]}","RT @sequoia: ""What business are you in? As importantly, what businesses are you NOT in?” Two of the defining questions @roelofbotha explore…",1040707083035803648,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}]"
192,2018-09-14T21:00:38.000Z,"{'retweet_count': 6, 'reply_count': 1, 'like_count': 51, 'quote_count': 0}","{'hashtags': [{'start': 156, 'end': 167, 'tag': 'SequoiaAMP'}], 'urls': [{'start': 168, 'end': 191, 'url': 'https://t.co/ige1zgwTfU', 'expanded_url': 'https://twitter.com/sequoia/status/1040416208984535040', 'display_url': 'twitter.com/sequoia/status…'}]}",Great companies don’t evolve in isolation. They are part of a community of ideas and exchanges that make them stronger. This is our motivation for creating #SequoiaAMP https://t.co/ige1zgwTfU,1040706914965905409,
193,2018-09-13T02:42:01.000Z,"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 14, 'username': 'DavidSacks'}, {'start': 17, 'end': 26, 'username': 'appannie'}]}",RT @DavidSacks: .@appannie is quite an amazing tool for investors. Lets you cut through the hype and see market share data very quickly. ht…,1040068052421726208,
194,2018-09-07T23:38:22.000Z,"{'retweet_count': 78, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 14, 'username': 'meisenberg'}], 'hashtags': [{'start': 31, 'end': 39, 'tag': 'MongoDB'}]}",RT @meisenberg: Fun to see our #MongoDB billboard live on 101!  ~Friends don’t let REAL friends use relational databases https://t.co/CppDA…,1038209894908719104,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10046487315', 'name': 'Billboard'}}]"
