,created_at,public_metrics,text,entities,id,context_annotations
840,2018-06-18T03:25:40.000Z,"{'retweet_count': 88643, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @laurawbush: I live in a border state. I appreciate the need to enforce and protect our international boundaries, but this zero-toleranc…","{'mentions': [{'start': 3, 'end': 14, 'username': 'laurawbush'}]}",1008551291906191360,
841,2018-06-16T18:24:45.000Z,"{'retweet_count': 313, 'reply_count': 72, 'like_count': 1501, 'quote_count': 53}","For $65B @comcast could have tried to buy @Airbnb, @lyft, @Spotify or @Dropbox etc but instead is trying to buy old content in a world of @netflix. 🤯. 

If last-gen companies are to survive, it seems the only tenable way is to BURN THE BOATS! IOW, Pivot hard...Pivot now...","{'mentions': [{'start': 9, 'end': 17, 'username': 'comcast'}, {'start': 42, 'end': 49, 'username': 'Airbnb'}, {'start': 51, 'end': 56, 'username': 'lyft'}, {'start': 58, 'end': 66, 'username': 'Spotify'}, {'start': 70, 'end': 78, 'username': 'Dropbox'}, {'start': 138, 'end': 146, 'username': 'netflix'}]}",1008052778114035712,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597222535168', 'name': 'Online Services'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597251964928', 'name': 'Car Rental/Sharing'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783337372406517762', 'name': 'Online Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026367762', 'name': 'Netflix'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026876715', 'name': 'Comcast'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032901311', 'name': 'Airbnb'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040276669', 'name': 'Spotify'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040709756', 'name': 'Lyft'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10041893675', 'name': 'Dropbox'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864938653063159808', 'name': 'Hospitality', 'description': 'Hospitality'}}]"
842,2018-06-14T03:39:38.000Z,"{'retweet_count': 73, 'reply_count': 14, 'like_count': 446, 'quote_count': 9}",👍🏽👊🏽🙏🏽 https://t.co/GKzaN2u19T,"{'urls': [{'start': 7, 'end': 30, 'url': 'https://t.co/GKzaN2u19T', 'expanded_url': 'https://twitter.com/itswarenbuffett/status/1006390929744224258', 'display_url': 'twitter.com/itswarenbuffet…'}]}",1007105252808486914,
843,2018-06-11T06:55:36.000Z,"{'retweet_count': 135, 'reply_count': 25, 'like_count': 649, 'quote_count': 31}","An important set of thoughts about the future of venture capital...

https://t.co/7E0pHUbVrq","{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/7E0pHUbVrq', 'expanded_url': 'https://medium.com/@chamath/if-youre-a-student-of-technology-companies-you-ve-heard-this-adage-many-times-133e99f0122', 'display_url': 'medium.com/@chamath/if-yo…'}]}",1006067405699760128,
844,2018-05-26T13:27:56.000Z,"{'retweet_count': 99, 'reply_count': 27, 'like_count': 507, 'quote_count': 6}","It’s sad when the industry confuses strategy, tactics, good execution, bad execution vs a market dominated by LTV/CAC and where the winner MUST have the most efficient traffic acquisition possible. Welcome to the future of Airbnb vs Booking and why Booking has caught up... https://t.co/vuEdpxJnxW","{'urls': [{'start': 274, 'end': 297, 'url': 'https://t.co/vuEdpxJnxW', 'expanded_url': 'https://twitter.com/theinformation/status/1000364699140096000', 'display_url': 'twitter.com/theinformation…'}], 'annotations': [{'start': 110, 'end': 112, 'probability': 0.6482, 'type': 'Organization', 'normalized_text': 'LTV'}, {'start': 114, 'end': 116, 'probability': 0.7297, 'type': 'Organization', 'normalized_text': 'CAC'}, {'start': 223, 'end': 228, 'probability': 0.9088, 'type': 'Organization', 'normalized_text': 'Airbnb'}]}",1000367935267913728,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783337372406517762', 'name': 'Online Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032901311', 'name': 'Airbnb'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864938653063159808', 'name': 'Hospitality', 'description': 'Hospitality'}}]"
845,2018-05-22T12:30:09.000Z,"{'retweet_count': 25, 'reply_count': 7, 'like_count': 142, 'quote_count': 4}","Gratuitous shoutout: @ezetap is named to CNBC’s Disruptor 50 list for the 3rd year in a row. They’ve been helping drive the revolution of a cashless economy in India and have created payment rails that process billions of dollars per year and growing.

https://t.co/F7EDSMZwDp","{'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/F7EDSMZwDp', 'expanded_url': 'https://www.cnbc.com/2018/05/22/meet-the-2018-cnbc-disruptor-50-companies.html', 'display_url': 'cnbc.com/2018/05/22/mee…'}], 'mentions': [{'start': 21, 'end': 28, 'username': 'ezetap'}], 'annotations': [{'start': 41, 'end': 44, 'probability': 0.9221, 'type': 'Organization', 'normalized_text': 'CNBC'}, {'start': 160, 'end': 164, 'probability': 0.9979, 'type': 'Place', 'normalized_text': 'India'}]}",998903841700630528,
846,2018-05-21T17:44:33.000Z,"{'retweet_count': 74, 'reply_count': 20, 'like_count': 378, 'quote_count': 6}","Grinding to help cities improve the quality of life of their inhabitants.  Did you know that cities now represent 50% of the worlds population and 80% of all economic output?!?!?!

https://t.co/GP7rlBCJRD","{'urls': [{'start': 181, 'end': 204, 'url': 'https://t.co/GP7rlBCJRD', 'expanded_url': 'https://medium.com/social-capital/our-commitment-to-cities-b07ace19d026', 'display_url': 'medium.com/social-capital…'}]}",998620574711730176,
847,2018-05-18T14:48:21.000Z,"{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @relativityspace: Huge thanks to @Forbes and @ayjenjay - our vision to innovate American #3Dprinting and #spaceflight will cut manufactu…,"{'mentions': [{'start': 3, 'end': 19, 'username': 'relativityspace'}, {'start': 36, 'end': 43, 'username': 'Forbes'}]}",997489071177035777,
848,2018-05-15T19:08:46.000Z,"{'retweet_count': 48, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @westcoastbill: Haven't bought gas in years.  #tesla https://t.co/ITbFl59x7k,"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/ITbFl59x7k', 'expanded_url': 'https://twitter.com/jalopnik/status/996182804290506753', 'display_url': 'twitter.com/jalopnik/statu…'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'westcoastbill'}], 'hashtags': [{'start': 49, 'end': 55, 'tag': 'tesla'}]}",996467442040754176,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044199219', 'name': 'Tesla Motors'}}]"
849,2018-05-15T19:07:37.000Z,"{'retweet_count': 32, 'reply_count': 12, 'like_count': 219, 'quote_count': 1}","If you are having a bad day and/or want to watch one video today to uplift you, I’d recommend this one of @saildrone and what they are trying to do...it’s really inspiring. https://t.co/bCektZrBLQ","{'urls': [{'start': 173, 'end': 196, 'url': 'https://t.co/bCektZrBLQ', 'expanded_url': 'https://twitter.com/socialcapital/status/996441947911872512', 'display_url': 'twitter.com/socialcapital/…'}], 'mentions': [{'start': 106, 'end': 116, 'username': 'saildrone'}]}",996467154575749120,
