,context_annotations,created_at,text,entities,id,public_metrics
168,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879302733418496', 'name': 'Entrepreneurship', 'description': 'Entrepreneurship'}}]",2020-11-21T21:17:15.000Z,"RT @jrichlive: “There has never been a better time to be an entrepreneur” - never been more true than right now

1) tectonic shifts post-pa…","{'mentions': [{'start': 3, 'end': 13, 'username': 'jrichlive'}]}",1330259001787953157,"{'retweet_count': 144, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
169,,2020-11-21T20:11:43.000Z,@DeFi_Dad That would be fine with me.,"{'mentions': [{'start': 0, 'end': 9, 'username': 'DeFi_Dad'}]}",1330242509281308675,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}"
170,,2020-11-21T00:54:50.000Z,@theallinpod Should I have gotten @zebulgar to do it for me?,"{'mentions': [{'start': 0, 'end': 12, 'username': 'theallinpod'}, {'start': 34, 'end': 43, 'username': 'zebulgar'}]}",1329951369998913537,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 21, 'quote_count': 0}"
171,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783337372406517762', 'name': 'Online Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032901311', 'name': 'Airbnb'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864938653063159808', 'name': 'Hospitality', 'description': 'Hospitality'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783335558466506752', 'name': 'Online'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783337372406517762', 'name': 'Online Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032901311', 'name': 'Airbnb'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045779060', 'name': 'Wish Shopping'}}]",2020-11-21T00:31:38.000Z,"Congrats to @mlevchin @Affirm, @sfpiotr @WishShopping, and @bchesky @Airbnb on filing your S-1's. Thank you for including me back in 2012, '13, '14 respectively, and for your longterm vision. ""Someone is sitting in the shade today because someone planted a tree a long time ago.""","{'mentions': [{'start': 12, 'end': 21, 'username': 'mlevchin'}, {'start': 22, 'end': 29, 'username': 'Affirm'}, {'start': 31, 'end': 39, 'username': 'sfpiotr'}, {'start': 40, 'end': 53, 'username': 'WishShopping'}, {'start': 59, 'end': 67, 'username': 'bchesky'}, {'start': 68, 'end': 75, 'username': 'Airbnb'}]}",1329945529988620305,"{'retweet_count': 11, 'reply_count': 14, 'like_count': 772, 'quote_count': 8}"
172,,2020-11-20T19:39:38.000Z,@paulg Plot for a space comedy?,"{'mentions': [{'start': 0, 'end': 6, 'username': 'paulg'}]}",1329872046596050945,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 52, 'quote_count': 0}"
173,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1237833500474003461', 'name': 'Remote work'}}]",2020-11-19T19:54:14.000Z,This happened quickly. https://t.co/F7BcssPQ8m,"{'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/F7BcssPQ8m', 'expanded_url': 'https://twitter.com/DavidSacks/status/1263891595369349120', 'display_url': 'twitter.com/DavidSacks/sta…'}]}",1329513331720216576,"{'retweet_count': 36, 'reply_count': 14, 'like_count': 375, 'quote_count': 6}"
174,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1006264678878621696', 'name': 'Starlink: Battle for Atlas', 'description': 'Starlink: Battle for Atlas'}}]",2020-11-19T08:59:08.000Z,"Can’t get enough of Starlink unboxing videos. “Any sufficiently advanced technology is indistinguishable from magic.”

https://t.co/rQGiG0MIRJ","{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/rQGiG0MIRJ', 'expanded_url': 'https://m.youtube.com/results?search_query=starlink+unboxing+spacex#menu', 'display_url': 'm.youtube.com/results?search…'}], 'annotations': [{'start': 20, 'end': 27, 'probability': 0.4434, 'type': 'Product', 'normalized_text': 'Starlink'}]}",1329348471363567617,"{'retweet_count': 6, 'reply_count': 4, 'like_count': 188, 'quote_count': 2}"
175,,2020-11-18T20:31:34.000Z,@michelletandler @Jason @rabois I really appreciate @michelletandler’s tweets about San Francisco. They shine a spotlight on the the problem and I hope people are paying attention. My comment was just an observation sparked by Michelle’s tweet. I wasn’t trying to ratio anyone.,"{'mentions': [{'start': 0, 'end': 16, 'username': 'michelletandler'}, {'start': 17, 'end': 23, 'username': 'Jason'}, {'start': 24, 'end': 31, 'username': 'rabois'}, {'start': 52, 'end': 68, 'username': 'michelletandler'}], 'annotations': [{'start': 84, 'end': 96, 'probability': 0.897, 'type': 'Place', 'normalized_text': 'San Francisco'}, {'start': 227, 'end': 234, 'probability': 0.993, 'type': 'Person', 'normalized_text': 'Michelle'}]}",1329160342216163328,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 25, 'quote_count': 0}"
176,,2020-11-18T05:18:38.000Z,@michelletandler @rabois Every immigrant leaves because of their government.,"{'mentions': [{'start': 0, 'end': 16, 'username': 'michelletandler'}, {'start': 17, 'end': 24, 'username': 'rabois'}]}",1328930592122155011,"{'retweet_count': 21, 'reply_count': 18, 'like_count': 694, 'quote_count': 3}"
177,,2020-11-18T05:16:58.000Z,@bryce @rabois It’s an obituary for San Francisco.,"{'mentions': [{'start': 0, 'end': 6, 'username': 'bryce'}, {'start': 7, 'end': 14, 'username': 'rabois'}], 'annotations': [{'start': 36, 'end': 48, 'probability': 0.94, 'type': 'Place', 'normalized_text': 'San Francisco'}]}",1328930174260404234,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 81, 'quote_count': 1}"
